E (keV),F (1/cm2)
135.25,747139.4395620732
135.75,740187.1283045512
136.25,733280.4808653726
136.75,726397.5967688236
137.25,719529.3549259206
137.75,712659.5413427303
138.25,705837.3381606414
138.75,699034.5857030163
139.25,692244.8641902817
139.75,685452.9025922695
140.25,678656.8712952891
140.75,671835.2842200221
141.25,665033.4589071805
141.75,658233.993779417
142.25,651478.5424065017
142.75,644746.1321220781
143.25,638030.660428259
143.75,631313.7897101527
144.25,624641.145659411
144.75,617993.7301398995
145.25,611363.1059683405
145.75,604736.7297683349
146.25,598156.3781787535
146.75,591597.9065964854
147.25,585055.5216862605
147.75,578517.5715416162
148.25,572021.3483382901
148.75,565546.9327670698
149.25,559090.0591430299
149.75,552635.9978333807
150.25,546200.1938284928
150.75,539763.5879218023
151.25,533344.8573777196
151.75,526934.817678813
152.25,520566.9589876927
152.75,514220.36397660285
153.25,507891.4768149882
153.75,501573.5097955221
154.25,495295.2529069653
154.75,489034.6503214335
155.25,482790.7687173022
155.75,476557.3515586224
156.25,470359.68047748954
156.75,464180.64266413666
157.25,458021.1799265229
157.75,451874.74319083703
158.25,445763.7280956016
158.75,439670.5273068646
159.25,433595.20034142485
159.75,427532.50808999705
160.25,421502.49831013894
160.75,415489.09148627875
161.25,409493.6312984935
161.75,403511.68023671524
162.25,397545.0240841414
162.75,391576.53548899345
163.25,385627.18570337794
163.75,379692.6327286938
164.25,373786.7563696562
164.75,367893.96642424515
165.25,362017.78289931937
165.75,356155.4432560658
166.25,350317.58890795475
166.75,344493.67133554694
167.25,338687.26653717295
167.75,332897.2838688218
168.25,327130.4274452838
168.75,321376.2515260865
169.25,315637.8579614647
169.75,309914.69745436707
170.25,304211.46354502585
170.75,298520.1833263168
171.25,292844.53372294066
171.75,287183.4876858268
172.25,281541.30921957275
172.75,275909.58754943014
173.25,270294.05270950665
173.75,264692.4987006974
174.25,259108.78326550729
174.75,253534.5414577296
175.25,247967.52746024344
175.75,242405.94439935678
176.25,236862.03216224498
176.75,231324.9616037771
177.25,225801.28466068266
177.75,220290.05637897766
178.25,214791.73210331256
178.75,209303.0956312607
179.25,203830.49381249977
179.75,198375.0311298859
180.25,192933.55293019852
180.75,187502.94752804795
181.25,182089.59583741517
181.75,176695.97417549463
182.25,171315.35048679973
182.75,165945.82528084496
183.25,160594.41824828606
183.75,155263.43286240604
184.25,149945.51473473746
184.75,144643.1341574912
185.25,139364.48883962215
185.75,134110.606538707
186.25,128874.73985855981
186.75,123659.34562350615
187.25,118472.44653736298
187.75,113315.23602279824
188.25,108182.57879286456
188.75,103078.30067691543
189.25,98011.05797725877
189.75,92982.47205389378
190.25,87988.8739413206
190.75,83034.53453246708
191.25,78127.91879523874
191.75,73271.90806835695
192.25,68466.89070882164
192.75,63721.63558560951
193.25,59044.00397304738
193.75,54439.41104973578
194.25,49930.35224302053
194.75,45487.76675162268
195.25,41103.015415791306
195.75,36801.54831661847
196.25,32739.32750047365
196.75,28708.74909498948
197.25,24620.382126512075
197.75,20612.021964991523
198.25,16986.993114629095
198.75,12885.459115479001
199.25,8050.947471933313
199.75,2746.9502332221077
