E (keV),F (1/cm2)
125.75,11.999448723635446
126.25,13.391054163292662
126.75,14.919795346222157
127.25,16.596232750775332
127.75,18.432336109700334
128.25,20.440284550063033
128.75,22.63274347780465
129.25,25.022992817292934
129.75,27.62480020994413
130.25,30.453770332531658
130.75,33.525261747502036
131.25,36.855413292835664
131.75,40.46098064326122
132.25,44.35893075074198
132.75,48.56889710813009
133.25,53.10964556007315
133.75,58.00134573457604
134.25,63.26386035625967
134.75,68.91704488659218
135.25,74.98581905207858
135.75,81.49205471579924
136.25,88.45893054860205
136.75,95.91031754455211
137.25,103.86915500908322
137.75,112.36395985036253
138.25,121.42038322712179
138.75,131.06540255683154
139.25,141.3243880339541
139.75,152.2225194422688
140.25,163.74113987039465
140.75,175.8976462421803
141.25,188.76994887940535
141.75,202.38582966686218
142.25,216.7710565622058
142.75,231.96360768925777
143.25,247.99254818189945
143.75,264.88656665124944
144.25,282.67528870438935
144.75,301.3848887643422
145.25,321.05788539023956
145.75,341.7234767415918
146.25,363.40964506590996
146.75,386.14853643584786
147.25,409.9627128196236
147.75,434.90032154765356
148.25,460.9889809822473
148.75,488.25590909354634
149.25,516.7315771990325
149.75,546.4345735272177
150.25,577.184817611499
150.75,608.9769647921817
151.25,642.0562160562513
151.75,676.4496091983461
152.25,712.1734630290683
152.75,749.282388695449
153.25,787.7976379764327
153.75,827.7307248271019
154.25,869.111083567847
154.75,911.9526905291058
155.25,956.3051495688429
155.75,1002.1841944612844
156.25,1049.6057882161888
156.75,1098.5864620352797
157.25,1149.1334257498404
157.75,1201.3048626297796
158.25,1255.109762607291
158.75,1310.5428951903518
159.25,1367.6218847687423
159.75,1426.3657518013433
160.25,1486.813699284293
160.75,1548.9610021843334
161.25,1612.8097523630797
161.75,1678.3789444054885
162.25,1745.4620398902682
162.75,1814.0528732597588
163.25,1884.370467640799
163.75,1956.3962592044877
164.25,2030.1399173678885
164.75,2105.5985688112787
165.25,2182.8070062236907
165.75,2261.7397665274216
166.25,2342.3732430715017
166.75,2424.7332725117553
167.25,2508.791881638907
167.75,2594.570202741577
168.25,2682.040771029017
168.75,2771.175935122545
169.25,2861.993104323726
169.75,2954.4440611120085
170.25,3048.55808431556
170.75,3144.293577117248
171.25,3241.626314004376
171.75,3340.5557529173443
172.25,3441.0425522718724
172.75,3543.085382045109
173.25,3646.641028881651
173.75,3751.69031546224
174.25,3858.204107801514
174.75,3966.151377050248
175.25,4073.6030879498476
175.75,4180.405507433988
176.25,4288.402394857405
176.75,4397.565630328453
177.25,4507.834577467759
177.75,4619.167051361967
178.25,4731.5503654748145
178.75,4844.943413636037
179.25,4959.291152220136
179.75,5074.544432352557
180.25,5190.659619437365
180.75,5307.6149875725005
181.25,5425.314889543975
181.75,5543.73198824477
182.25,5662.826791862383
182.75,5782.521813977698
183.25,5902.796778246592
183.75,6023.545599483979
184.25,6144.787409034291
184.75,6266.430448079887
185.25,6388.383984367463
185.75,6510.630420855707
186.25,6633.0715544348695
186.75,6755.6970091381245
187.25,6878.412934029114
187.75,7001.1279621316535
188.25,7123.8217118094735
188.75,7246.3904595222375
189.25,7368.842325924319
189.75,7491.090883470508
190.25,7613.017986111819
190.75,7734.567719635875
191.25,7855.647004750558
191.75,7976.296898677305
192.25,8096.429149936308
192.75,8215.865092681472
193.25,8334.527688773956
193.75,8452.367389903897
194.25,8569.408104705122
194.75,8685.58876762035
195.25,8800.641262968125
195.75,8914.51559856319
196.25,9027.20009368242
196.75,9138.710515977966
197.25,9248.969076441965
197.75,9357.656191412112
198.25,9464.835458704672
198.75,9570.464623749827
199.25,9674.60477237896
199.75,9777.172914439167
200.25,9874.403189200635
200.75,9966.297399926912
201.25,10056.170612061695
201.75,10144.116696942658
202.25,10230.080550783503
202.75,10313.59825080127
203.25,10394.738577540074
203.75,10473.491182101485
204.25,10549.952788069724
204.75,10624.069949064316
205.25,10695.333343699667
205.75,10763.851027361243
206.25,10829.656757466766
206.75,10892.880514835699
207.25,10953.411019757545
207.75,11010.700960142422
208.25,11064.874749756407
208.75,11115.93585764784
209.25,11164.061461508101
209.75,11209.097641474747
210.25,11250.451202105238
210.75,11288.377156576518
211.25,11322.75191837359
211.75,11353.9383718475
212.25,11381.630499675408
212.75,11405.263834181851
213.25,11425.107663165843
213.75,11440.933370240875
214.25,11453.295245623156
214.75,11461.712272695984
215.25,11465.669053253461
215.75,11465.436826236839
216.25,11460.848972158485
216.75,11452.478508587841
217.25,11439.801865785654
217.75,11422.322485485147
218.25,11400.261413269114
218.75,11373.488779739151
219.25,11342.602465869779
219.75,11307.044825072498
220.25,11263.209045397538
220.75,11211.444022502323
221.25,11154.816797194215
221.75,11093.94261881895
222.25,11028.262159150647
222.75,10957.198056730958
223.25,10881.071517522896
223.75,10799.846880229696
224.25,10714.147122368533
224.75,10623.401502763247
225.25,10526.988316934885
225.75,10425.293727571558
226.25,10318.32081319508
226.75,10206.780141342706
227.25,10089.991330461427
227.75,9967.335980391783
228.25,9839.301263162824
228.75,9705.928759940063
229.25,9568.02499183985
229.75,9424.77374989845
230.25,9275.62617517139
230.75,9121.049695996102
231.25,8961.079189777094
231.75,8796.609692565513
232.25,8626.715468406679
232.75,8450.973670435214
233.25,8270.021113705368
233.75,8083.921405717149
234.25,7893.583698054264
234.75,7697.844386169942
235.25,7496.434619526891
235.75,7290.197948035495
236.25,7079.158598431342
236.75,6864.332887088093
237.25,6644.821779176071
237.75,6420.707054600918
238.25,6192.685709280632
238.75,5960.632731113698
239.25,5725.74484292832
239.75,5487.210803450233
240.25,5245.651404943972
240.75,5001.671503960185
241.25,4754.82173538744
241.75,4506.5745758591975
242.25,4256.360274538015
242.75,4006.461809691006
243.25,3755.8629240285404
243.75,3502.7760608824883
244.25,3249.5013445533114
244.75,2996.3478051641864
245.25,2755.0230815073614
245.75,2513.743024280925
246.25,2262.600723052148
246.75,2008.8779760125112
247.25,1758.1083657331128
247.75,1532.5012828505162
248.25,1275.392135445675
248.75,960.4571425352578
249.25,600.0622456471727
249.75,205.8367698190438
