Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
162.6,0.4081,1.687012461
162.8,1.0971,4.542152281
163,0.31578,1.309371931
163.2,0.44465,1.846540283
163.4,0.56273,2.340463089
163.6,0.54443,2.267796965
163.8,1.1913,4.969844655
164,0.76828,3.209962134
164.2,0.37049,1.550296411
164.4,0.1897,0.794991735
164.6,0.33276,1.396633942
164.8,0.042471,0.178525115
165,0.32709,1.376983155
165.2,0.70394,2.967909793
165.4,0.40608,1.714665914
165.6,0.29975,1.267590973
165.8,0.30191,1.278641063
166,0.14666,0.622061333
166.2,0.032004,0.135948788
166.4,0.40076,1.704920657
166.6,0.20594,0.877421796
166.8,0.050808,0.216793818
167,6.96E-08,2.97E-07
167.2,0.58111,2.486937404
167.4,0.44914,1.925009466
167.6,0.87587,3.759539053
167.8,0.49431,2.124894372
168,0.873,3.758325421
168.2,0.70942,3.058615907
168.4,0.46572,2.010883779
168.6,0.79122,3.421362554
168.8,0.36209,1.568040676
169,0.64112,2.780470332
169.2,0.26871,1.167078617
169.4,0.20659,0.898591112
169.6,0.20698,0.901606314
169.8,0.31629,1.379777193
170,0.74765,3.266299308
170.2,0.20878,0.913439689
170.4,0.10715,0.469478499
170.6,0.52882,2.320401604
170.8,0.21036,0.924377589
171,0.93916,4.132910505
171.2,0.82261,3.625265155
171.4,1.24,5.472629745
171.6,0.018706,0.082676696
171.8,0.036555,0.161799057
172,0.006876,0.030478339
172.2,0.27186,1.206774679
172.4,0.51744,2.300199686
172.6,0.68767,3.061325466
172.8,0.2167,0.966076331
173,0.43582,1.945727485
173.2,0.13542,0.605451301
173.4,0.24538,1.098642369
173.6,0.27516,1.233736696
173.8,0.11604,0.521031679
174,0.28909,1.299893985
174.2,0.73851,3.325438581
174.4,0.51996,2.344657453
174.6,0.11067,0.499753135
174.8,0.27519,1.2444391
175,0.23029,1.042871257
175.2,0.80878,3.667750612
175.4,0.3993,1.813349708
175.6,0.82462,3.750145099
175.8,0.57748,2.629917965
176,0.74358,3.391119549
176.2,0.75041,3.427072285
176.4,0.74823,3.421906437
176.6,0.52938,2.424420906
176.8,0.3193,1.46435376
177,0.74075,3.401922931
177.2,0.22898,1.053065086
177.4,0.60243,2.774394672
177.6,0.41498,1.913779706
177.8,0.48969,2.261456751
178,0.45349,2.097182322
178.2,0.45936,2.12726809
178.4,0.44939,2.083973492
178.6,0.014882,0.069108105
178.8,0.36943,1.717900141
179,0.53823,2.506287562
179.2,0.095066,0.443286637
179.4,0.53914,2.517425206
179.6,0.52401,2.450131467
179.8,0.33377,1.562755712
180,0.36359,1.704703709
